CALL_ID,TIMESTAMP,CALL_LENGTH,PHONE_NUMBERS
ZZSR4586,Wed Sep 07 17:45:16 EDT 2016,72,419-850-7535183|223-544-9532280|634-783-6431375
AQTE7122,Sat Dec 08 22:51:39 EST 2018,78,759-400-0583596|468-547-4412654
ZPZE2347,Fri Feb 08 03:05:22 EST 2019,81,078-779-4421287|365-059-6029444
SBUL4516,Wed Apr 26 04:02:20 EDT 2017,67,110-092-2306889|917-732-4347675|330-790-4342522
UPIL3732,Sat Sep 12 01:27:09 EDT 2015,39,354-571-3591801|040-911-7064997
GMRR6170,Sat Oct 21 10:46:13 EDT 2017,86,537-306-1113473|796-859-1996700|522-964-7060828
NFWF6218,Sun May 13 02:37:40 EDT 2018,18,310-579-3950616|458-353-5729383
JEBA0758,Sat Jul 29 03:14:44 EDT 2017,4,750-289-6755313|443-826-8098126
XEQC2913,Mon Sep 04 14:18:20 EDT 2017,50,976-115-6804220|548-387-1054460|866-869-2641948
CUJL8483,Fri Sep 19 15:09:04 EDT 2014,18,514-691-5797001|792-741-2482454|429-488-6106292
EXTT9572,Thu Dec 03 02:02:04 EST 2015,89,721-355-5459700|927-764-7374463|371-109-0246765
LTKM7335,Sun Dec 20 16:05:04 EST 2015,69,198-107-7301442|020-480-1300485|975-326-9103485
YXTR5796,Thu Jan 23 07:06:57 EST 2020,35,631-487-4351064|227-349-0102095|091-500-4052402
QHJE9745,Mon Oct 10 20:31:49 EDT 2022,87,567-762-2610696|862-407-4095473|338-290-6535977
JBZY6865,Sun Apr 16 04:12:38 EDT 2023,23,792-741-2482454|886-461-0579700
NDMY8479,Sun Mar 15 00:04:20 EDT 2015,49,822-138-4806367|764-761-0208264
KGIG5653,Thu Nov 30 00:35:07 EST 2023,20,548-387-1054460|514-691-5797001
LCXB7960,Fri Jul 14 15:22:27 EDT 2023,73,663-263-4413091|340-436-3103545|040-911-7064997
DNPQ4794,Sun Feb 12 07:15:23 EST 2017,9,558-357-5083259|040-911-7064997
NQXJ6962,Fri Aug 20 05:02:11 EDT 2021,51,799-620-7307996|418-869-2051713|705-626-3821600
SVUF5522,Sat Jul 24 12:04:35 EDT 2021,14,514-600-1292328|374-089-0667877|266-934-6823619
YPFG0342,Thu Oct 27 16:33:30 EDT 2016,81,535-468-3379124|050-774-3939219|764-761-0208264
ASEW4494,Tue Sep 16 14:27:10 EDT 2014,87,374-089-0667877|656-579-9913511|248-350-7980019
